title,img_src,product_detail_link,original_price,discount_price,screen_size,resolution
XiaomiGoogle Tivi L55MA-SSEA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34822/google-tivi-xia_main_997_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-xiaomi-a-pro-qled-4k-55-inch-l55massea,11490000,9490000,55 inch,4K
TCLGoogle Tivi QD-Mini LED 55C755,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34026/google-tivi-tcl_main_664_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qdmini-led-4k-55-inch-55c755,21990000,17990000,55 inch,4K
TCLGoogle Tivi 75C655,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34365/google-tivi-tcl_main_18_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qled-4k-75-inch-75c655,25990000,18990000,75 inch,4K
TCLGoogle Tivi QLED 55C645,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32297/google-tivi-tcl_main_686_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qled-4k-55-inch-55c645,14990000,9890000,55 inch,4K
SamsungSmart Tivi UA75DU8000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34275/smart-tivi-sams_main_60_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-75-inch-ua75du8000,29390000,29390000,75 inch,4K
SamsungSmart Tivi UA43DU8000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34279/smart-tivi-sams_main_364_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-43-inch-ua43du8000,11390000,11390000,43 inch,4K
LGSmart Tivi NanoCell 75NANO81TSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34486/smart-tivi-nano_main_821_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-nanocell-lg-4k-75-inch-75nano81tsa,36900000,23390000,75 inch,4K
HisenseGoogle Tivi 65A6500K,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34655/google-tivi-his_main_806_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-hisense-4k-65-inch-65a6500k,13990000,10990000,65 inch,4K
SamsungSmart Tivi QA50Q60D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34271/smart-tivi-qled_main_619_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-50-inch-qa50q60d,15900000,13390000,55 inch,4K
SonyBRAVIA 8 K-65XR80,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34686/google-tivi-ole_main_556_450.png.webp,https://dienmaycholon.com/tivi/sony-bravia-8-oled-4k-65-inch-k65xr80,68590000,13390000,65 inch,4K
